indicator_code,indicator_title,metric,year,value,geo_version,geo_code,geo_name
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2006,3,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2008,6.6,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2010,5.3,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2012,3.6,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2013,2.9,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2014,2.3,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2015,1.8,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2016,1.3,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2020,0.49,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2021,0.42,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2022,0.14,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2023,0.1,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2024,0.1,old_63,1,Hà Nội
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2006,12.6,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2008,11.3,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2010,10.4,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2012,7.3,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2013,6,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2014,4.9,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2015,3.7,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2016,2.9,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2020,2.48,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2021,2.31,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2022,1.01,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2023,0.73,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2024,0.6,old_63,26,Vĩnh Phúc
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2006,8.6,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2008,7.5,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2010,7,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2012,4.5,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2013,3.6,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2014,2.6,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2015,2.1,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2016,1.6,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2020,0.71,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2021,0.6,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2022,0.85,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2023,1,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2024,0.61,old_63,27,Bắc Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2006,7.9,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2008,6.4,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2010,8,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2012,5.2,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2013,4.3,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2014,4.1,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2015,4,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2016,3.7,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2020,2.13,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2021,1.84,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2022,1.11,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2023,1.09,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2024,0.64,old_63,22,Quảng Ninh
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2006,12.7,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2008,10.1,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2010,10.8,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2012,7.7,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2013,6.2,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2014,4.7,old_63,30,Hải Dương
1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",rate_percent,2015,3.5,old_63,30,Hải Dương
